# Data from Kataoka et al. 2014, Fig2b, a=1e-5 cm
# Digitized by Til Birnstiel
# lamda [cm], kappa [cm^2/g]
0.000101002,396.512
0.000116524,365.917
0.000137926,334.315
0.000146791,344.629
0.000157958,324.460
0.000169355,293.398
0.000181573,270.713
0.000193952,281.894
0.000204161,293.526
0.000214915,273.563
0.000237263,296.604
0.000265798,348.603
0.000274695,422.217
0.000279738,651.304
0.000284840,1458.80
0.000291094,3506.35
0.000293193,5631.20
0.000301880,8343.55
0.000309732,7775.61
0.000320192,3688.40
0.000329803,1614.06
0.000335968,855.382
0.000347290,511.617
0.000360298,345.352
0.000376517,290.998
0.000397783,321.900
0.000423336,374.494
0.000443966,458.186
0.000457187,422.719
0.000470818,349.069
0.000484848,303.149
0.000502964,271.358
0.000525572,282.551
0.000545164,332.026
0.000571717,440.340
0.000599530,700.162
0.000617370,693.188
0.000652280,626.805
0.000681629,566.764
0.000725482,487.309
0.000766515,423.230
0.000824829,394.465
0.000890813,402.570
0.000913917,473.049
0.000937567,666.446
0.000958278,1048.99
0.00100864,1405.30
0.00108524,1940.53
0.00113398,2303.46
0.00119368,2257.76
0.00124284,2000.74
0.00131797,1652.26
0.00141838,1126.71
0.00146062,1029.07
0.00150964,939.897
0.00157178,884.823
0.00168515,849.997
0.00178696,792.200
0.00190186,761.007
0.00197289,716.409
0.00206170,609.771
0.00217037,508.657
0.00224321,469.288
0.00240506,420.105
0.00258799,411.792
0.00280533,399.601
0.00306327,395.675
0.00335719,399.769
0.00352097,416.262
0.00373355,437.838
0.00398804,484.345
0.00422875,535.783
0.00433846,617.019
0.00454975,826.594
0.00465091,826.636
0.00484277,580.959
0.00496899,456.156
0.00513585,396.153
0.00536708,327.142
0.00554741,267.437
0.00571275,227.621
0.00581862,201.698
0.00607996,232.290
0.00637651,249.299
0.00663889,241.896
0.00704008,216.539
0.00741115,180.632
0.00877366,100.711
0.0109337,53.3974
0.0137758,30.3821
0.0176780,16.6045
0.0225196,9.44789
0.0292178,5.26875
0.0420083,2.30742
0.0601775,0.980414
0.0758182,0.610808
0.0969354,0.372958
0.152744,0.161731
0.249670,0.0666927
0.356319,0.0368274
0.553277,0.0173105
0.962515,0.00699684
1.39399,0.00352868
2.77749,0.00108681
5.06771,0.000434926
7.36588,0.000273800
9.94927,0.000190612
