# Data from Kataoka et al. 2014, Figure 2d, a=1e-5 cm, f=1
# lambda [cm],kappa [cm^2/g]
0.000102210,407.298
0.000117058,371.888
0.000133084,343.001
0.000150201,342.928
0.000177137,280.239
0.000187837,266.439
0.000200656,285.884
0.000216712,266.372
0.000248208,309.775
0.000269067,349.554
0.000277099,502.435
0.000284344,938.559
0.000289653,1919.75
0.000292899,3550.26
0.000295087,5701.57
0.000299463,7261.76
0.000303899,8532.37
0.000311796,8112.65
0.000318699,5259.16
0.000329319,2038.98
0.000339058,901.193
0.000350386,502.229
0.000358157,382.555
0.000371511,300.336
0.000382568,294.327
0.000396861,312.656
0.000420852,356.393
0.000431803,394.171
0.000447945,458.477
0.000462964,418.693
0.000474980,349.207
0.000487312,303.235
0.000503652,279.727
0.000532132,288.287
0.000552026,342.148
0.000570577,431.389
0.000581157,512.002
0.000591936,620.053
0.000609573,699.739
0.000632333,678.853
0.000665621,601.461
0.000693001,549.263
0.000716237,506.682
0.000751185,458.063
0.000790726,397.742
0.000829327,393.720
0.000866630,393.690
0.000905629,426.718
0.000929232,560.160
0.000946471,692.188
0.000956990,872.763
0.000974744,1078.47
0.00100381,1332.64
0.00105287,1680.19
0.00110432,2055.27
0.00116679,2273.02
0.00123273,2054.88
0.00129761,1748.67
0.00139113,1292.21
0.00146433,1045.60
0.00152456,935.803
0.00167087,854.511
0.00181786,796.181
0.00195613,727.041
0.00208185,594.242
0.00224014,480.818
0.00237542,430.313
0.00257494,409.106
0.00281177,392.880
0.00312721,388.867
0.00334057,392.761
0.00363456,421.411
0.00389686,456.744
0.00410217,485.175
0.00428680,542.022
0.00439841,630.462
0.00449638,718.702
0.00461338,794.884
0.00476803,711.421
0.00498211,504.964
0.00530210,354.816
0.00556068,290.013
0.00572590,229.993
0.00593955,201.734
0.00629867,239.415
0.00653393,244.275
0.00692861,229.916
0.00732007,195.654
0.00820037,125.544
0.0112379,51.6822
0.0147925,25.5101
0.0192588,13.6493
0.0312398,4.45499
0.0399338,2.58392
0.0537342,1.27536
0.0725698,0.648807
0.140879,0.183836
0.247724,0.0677074
0.633069,0.0137495
1.61190,0.00268184
3.87048,0.000627213
6.63385,0.000297218
9.96480,0.000183083
