#lam [micron]  kappa dust[cm^2/g]
0.101492       1397.35
0.111746       1212.32
0.120333       1061.81
0.130544       965.876
0.143733       854.004
0.159431       784.239
0.178157       776.848
0.200563       769.526
0.234301       667.632
0.261822       579.230
0.303609       517.014
0.417425       419.787
0.582470       337.632
0.743674       284.722
1.05319        224.704
1.60616        170.746
2.50446        129.745
3.31818        109.413
4.59599        92.2666
5.29021        85.5353
6.08928        79.2950
6.85509        74.2094
7.38188        74.2094
7.71720        80.0495
8.18810        103.370
8.56004        115.809
8.94888        129.745
9.14987        150.970
9.70819        149.547
10.3006        142.631
10.9291        128.522
13.2491        92.2666
13.7488        88.8372
14.3733        86.3491
15.2503        88.0000
17.5539        96.7401
18.9029        96.7401
20.5068        90.5357
24.8598        78.5477
31.7401        66.8687
38.1939        60.2541
46.9922        50.8116
66.0596        39.7229
86.8774        32.8694
113.413        26.6882
176.843        17.1016
336.768        9.50752
655.723        4.90003
908.237        3.65354
1014.92        3.26111
1125.76        2.85622
1286.25        2.31910
1606.16        1.71286
3058.66        0.710016
9636.58        0.144672
