  Water ice, from Warren (1984), extended to X-rays by V. Zubko
  # lamda [mu]         n - 1              k
  4.13833333e-05  -2.35625000e-07  4.25842000e-11
  4.19601455e-05  -2.42243000e-07  4.51573000e-11
  4.25450981e-05  -2.49048000e-07  4.78859000e-11
  4.31381951e-05  -2.56043000e-07  5.07799000e-11
  4.37394307e-05  -2.63236000e-07  5.38484000e-11
  4.43491059e-05  -2.70630000e-07  5.71025000e-11
  4.49673837e-05  -2.78232000e-07  6.05538000e-11
  4.55942679e-05  -2.86048000e-07  6.42139000e-11
  4.62297524e-05  -2.94083000e-07  6.80954000e-11
  4.68741741e-05  -3.02345000e-07  7.22118000e-11
  4.75275346e-05  -3.10838000e-07  7.65782000e-11
  4.81900119e-05  -3.19571000e-07  8.12088000e-11
  4.88617937e-05  -3.28549000e-07  8.61195000e-11
  4.95428806e-05  -3.37779000e-07  9.13281000e-11
  5.02334652e-05  -3.47268000e-07  9.68518000e-11
  5.09337513e-05  -3.57025000e-07  1.02711000e-10
  5.16437393e-05  -3.67056000e-07  1.08925000e-10
  5.23636394e-05  -3.77369000e-07  1.15517000e-10
  5.30934470e-05  -3.87971000e-07  1.22509000e-10
  5.38336123e-05  -3.98872000e-07  1.29924000e-10
  5.45841449e-05  -4.10080000e-07  1.37791000e-10
  5.53450428e-05  -4.21602000e-07  1.46135000e-10
  5.61162916e-05  -4.33449000e-07  1.54986000e-10
  5.68986457e-05  -4.45628000e-07  1.64375000e-10
  5.76918609e-05  -4.58151000e-07  1.74334000e-10
  5.84959267e-05  -4.71025000e-07  1.84899000e-10
  5.93113860e-05  -4.84261000e-07  1.96107000e-10
  6.01382477e-05  -4.97870000e-07  2.07998000e-10
  6.09765082e-05  -5.11861000e-07  2.20613000e-10
  6.18264576e-05  -5.26246000e-07  2.33994000e-10
  6.26880895e-05  -5.41036000e-07  2.48150000e-10
  6.35620338e-05  -5.56242000e-07  2.63205000e-10
  6.44479744e-05  -5.71875000e-07  2.79184000e-10
  6.53465763e-05  -5.87949000e-07  2.96138000e-10
  6.62575050e-05  -6.04475000e-07  3.14125000e-10
  6.71810995e-05  -6.21465000e-07  3.33206000e-10
  6.81173495e-05  -6.38933000e-07  3.53446000e-10
  6.90669975e-05  -6.56894000e-07  3.74914000e-10
  7.00296702e-05  -6.75360000e-07  3.97690000e-10
