# digitized from Pollack et al. 1994, Fig. 1 by Til Birnstiel
# lam (micron)	k
0.161214    1.39721
0.186939    1.68992
0.251449    2.00918
0.298877    2.41619
0.388953    2.97361
0.477828    3.51482
0.611753    3.99049
0.803005    3.96848
0.843653    4.15579
1.07124    4.71818
1.38306    4.88514
1.45310    5.05713
1.82983    5.97768
1.98627    7.52705
2.60657    8.69485
3.09895    9.10620
3.42083    9.64691
4.83479    11.2087
6.03833    13.1728
8.81770    18.1929
23.0999    40.7821
58.5562    88.3111
121.821    165.558
216.759    262.593
101848    5430.37
101848    5430.37
