# digitized from Pollack et al. 1994, Fig. 1 by Til Birnstiel
# lam (micron)	k
0.107092    0.878698
0.156833    0.429595
0.170238    0.176485
0.190254    0.0712695
0.214517    0.0339164
0.243663    0.0255155
0.307870    0.0195384
0.314471    0.0135933
0.349551    0.00235386
0.376870    0.000542012
0.392825    0.000317274
0.401002    0.000249117
0.497358    0.000161868
0.554116    0.000120717
0.592976    0.000121798
0.732704    0.000166378
0.851914    0.000388231
0.893225    0.000481928
0.999683    0.000996273
1.28833    0.000705873
1.54348    0.000203564
1.60714    0.000146616
1.84400    0.000102052
2.03285    9.04605e-05
2.23948    9.20731e-05
2.56651    8.09255e-05
5.69935    0.00195142
6.62894    0.00424939
7.28076    0.00785071
7.77028    0.0135339
8.70503    0.156149
9.01471    0.331175
9.35172    0.497145
9.80007    0.684545
11.2351    0.561483
12.3221    0.202637
12.6116    0.0947437
13.2770    0.0526598
14.4318    0.111707
17.3928    0.461100
20.2641    0.716857
22.3112    0.816368
25.5714    0.705235
29.3453    0.474204
32.6885    0.366086
39.7616    0.241998
46.0055    0.218292
55.3069    0.216574
83.9504    0.188928
112.367    0.159132
199.547    0.0949772
344.272    0.0547545
617.434    0.0315710
955.083    0.0302892
6899.16    0.0261335
36570.1    0.0203020
175937    0.0159024
670722    0.0127714
