# digitized from Pollack et al. 1994, Fig. 1 by Til Birnstiel
# lam (micron)	k
0.0972963    0.822046
0.115277    0.620787
0.130111    0.431319
0.137377    0.309340
0.139318    0.275713
0.143424    0.204148
0.144054    0.149223
0.151596    0.135597
0.165310    0.139156
0.191373    0.168683
0.195767    0.196688
0.233436    0.169891
0.264812    0.148606
0.297014    0.120379
0.342461    0.0799829
0.380246    0.0548619
0.411691    0.0386025
0.462870    0.0263107
0.553614    0.0182844
0.584269    0.0135397
0.592314    0.0123805
0.654324    0.0122277
0.796148    0.0147305
1.08836    0.0127300
1.17500    0.0109916
1.29407    0.0134930
1.34021    0.0158348
1.45794    0.0193135
1.88999    0.0212788
2.15998    0.0266310
2.65317    0.0396229
2.70658    0.0563328
2.84093    0.0616211
3.27826    0.0940372
3.43421    0.0486691
4.81364    0.0415288
5.11115    0.0484301
5.48459    0.0646001
5.81214    0.0867178
6.35439    0.0739273
6.64659    0.103778
7.64580    0.0814274
8.53580    0.0919872
10.2421    0.123539
11.8304    0.175719
13.4963    0.249927
14.8149    0.388719
16.5927    0.348814
17.2521    0.308942
19.1196    0.242373
21.4217    0.211998
24.1774    0.267011
26.9075    0.377317
29.3207    0.407548
34.5679    0.326000
48.5483    0.241660
59.3091    0.218313
77.1881    0.181529
111.222    0.127049
148.631    0.0941628
216.669    0.0698112
248.752    0.0630524
312.007    0.0510971
336.724    0.0452626
397.091    0.0355177
571.257    0.0114643
730.816    0.00549905
832.236    0.00365353
853.936    0.00342749
993.260    0.00296025
2177.23    0.00254637
15586.4    0.00173635
31708.6    0.00150276
36358.4    0.00148441
73768.5    0.00155645
