#amax [cm]	 beta
9.97950e-05	1.65263
0.000132994	1.65662
0.000215371	1.65601
0.000341687	1.65107
0.000780200	1.65439
0.00119415	1.64949
0.00197389	1.65322
0.00288494	1.65710
0.00619466	1.69974
0.00882541	1.75598
0.0101888	1.79068
0.0130354	1.92118
0.0140074	1.99086
0.0160936	2.20435
0.0172964	2.36559
0.0190727	2.54861
0.0199757	2.60960
0.0222503	2.69231
0.0260884	2.78368
0.0278884	2.81412
0.0309016	2.83143
0.0340630	2.81387
0.0375454	2.75706
0.0413793	2.63920
0.0451339	2.45159
0.0502407	2.16367
0.0518027	2.07642
0.0600935	1.92798
0.0642300	1.87121
0.0676041	1.82318
0.0768287	1.65296
0.0846792	1.56998
0.105005	1.43018
0.105005	1.43018
0.118137	1.36462
0.159849	1.25959
0.234775	1.13265
0.359286	1.04490
0.517039	0.983398
0.779220	0.934915
1.72513	0.868504
2.58673	0.846191
3.81947	0.828257
5.99768	0.814606
8.63195	0.809785
18.8202	0.791360
43.4157	0.781583
65.4360	0.776705
