# digitized from Pollack et al. 1994, Fig. 1 by Til Birnstiel
# lam (micron)	k
0.121772    1.25985
0.157363    0.677579
0.180883    0.476094
0.199380    0.274355
0.212116    0.144325
0.213255    0.0642965
0.221165    0.0204443
0.226385    0.0158118
0.259920    0.0393141
0.272430    0.0222901
0.276619    0.00661042
0.285061    0.00184837
0.294599    0.000998619
0.306072    0.000720444
0.440989    0.000350128
0.525747    0.000229501
0.541549    0.000204018
0.648165    0.000220045
0.792278    0.000258582
0.822382    0.000635850
0.861605    0.00114003
0.890758    0.00173127
0.936326    0.00188648
1.00181    0.00124937
1.07451    0.000571831
1.10944    0.000355093
1.17897    0.000221711
1.26956    0.000165195
1.45519    0.000178145
1.56886    0.000329863
1.58854    0.000442854
1.70044    0.000811258
1.78439    0.00114307
1.94368    0.00132839
2.07499    0.00123274
2.18826    0.000820749
2.45114    0.000367751
2.53261    0.000205172
3.02208    0.000348843
3.57784    0.000656623
4.08630    0.00121610
4.83811    0.00226466
5.48540    0.00426208
6.17570    0.00780909
7.10488    0.0143091
7.71446    0.0269254
8.07982    0.0506587
8.28292    0.0927863
8.36811    0.174549
8.82877    0.323180
9.18310    0.582534
9.29335    0.847482
10.1230    0.984878
11.3069    0.677279
11.9623    0.278491
12.8887    0.0642274
15.3464    0.151388
16.3112    0.272898
18.0972    0.516309
19.6918    0.704575
22.2471    0.763843
23.7567    0.679119
27.3056    0.482314
31.5960    0.369218
38.1818    0.276695
56.9647    0.160482
71.3268    0.130343
153.324    0.108951
220.113    0.0914243
448.244    0.0444874
630.381    0.0319589
1886.37    0.0300902
21268.7    0.0277163
255768    0.0272304
590223    0.0270228
