# digitized from Pollack et al. 1994, Fig. 1 by Til Birnstiel
# lam (micron)	k
0.101884    0.861234
0.173386    0.901673
0.226040    1.01294
0.431459    1.33551
0.611116    1.54474
0.757411    1.91855
0.970949    2.21797
1.30847    2.52819
1.94731    3.09813
2.08976    1.71921
2.20654    0.900644
2.40885    0.465169
2.58635    0.240232
2.77665    0.125861
2.93094    0.0688403
6.91641    0.161462
17.7271    0.407097
45.4219    1.07164
73.3106    1.75132
114.453    2.86159
130.629    3.21250
211.257    3.93840
371.114    5.11625
673.908    6.74374
986.791    7.80162
3463.80    24.0942
11012.0    67.2543
20629.4    119.902
30673.7    167.222
97829.3    294.685
