# digitized from Pollack et al. 1994, Fig. 1 by Til Birnstiel
# lam (micron)	k
0.127528    0.145199
0.139778    0.254736
0.153352    0.209840
0.156642    0.122298
0.160051    0.0562029
0.161943    0.0175073
0.173314    0.000129995
0.175696    9.12242e-06
0.181742    8.47805e-07
0.178326    2.47479e-07
0.182353    6.07906e-08
0.188281    2.40180e-08
0.379555    2.90351e-09
0.192267    1.73730e-08
0.253951    8.17003e-09
0.485954    1.76916e-09
0.543746    2.84722e-09
0.602011    5.81085e-09
0.633297    9.97437e-09
0.686734    2.47218e-08
0.783616    8.29340e-08
0.979301    8.93665e-07
0.978925    1.20922e-06
1.06208    1.98823e-06
1.10686    1.67309e-06
1.12952    2.07672e-06
1.19980    5.61107e-06
1.24966    7.43185e-06
1.35552    1.45246e-05
1.42620    2.19010e-05
1.46868    6.88213e-05
1.48181    0.000202670
1.54200    0.000547528
1.85914    9.94888e-05
1.89615    0.000190217
2.03408    0.000710647
2.03290    0.00111854
2.28111    0.000194572
2.37429    0.000442235
2.47271    0.000638597
2.70933    0.00145186
2.76092    0.00542256
2.81419    0.0166746
2.92721    0.0636455
3.04511    0.222821
3.17028    0.416965
3.52518    0.0286503
3.64018    0.0103826
3.79492    0.00674203
4.20319    0.0101690
4.46788    0.0156691
4.75003    0.0212093
5.05554    0.0120997
5.65786    0.0167403
5.83136    0.0269288
6.19655    0.0537717
6.79792    0.0462503
7.15631    0.0452750
9.15965    0.0349858
10.2501    0.0516443
11.0032    0.112437
11.2241    0.188841
12.3019    0.338536
12.8178    0.338615
13.9200    0.261419
16.7636    0.117679
18.5874    0.0748087
21.9245    0.0400231
23.8163    0.0248962
28.9330    0.0375704
31.7165    0.0591655
36.2099    0.131670
43.9553    0.363798
48.1840    0.572906
59.2344    0.247021
71.9721    0.327463
81.4610    0.203744
99.0844    0.116322
126.812    0.0959038
174.429    0.0680019
242.616    0.0241571
280.271    0.0163886
347.971    0.00956200
631.756    0.00547147
1089.54    0.00319826
3142.12    0.00114083
6067.90    0.000598967
10250.1    0.000407219
