  # aC, type ACH2, V. Zubko et al. (1996), extended to X-rays by V. Zubko
  # lamda [mu]         n - 1             k
  1.13045252e-01  1.40393665e-01  4.92786152e-01
  1.13543303e-01  1.43490260e-01  4.93482253e-01
  1.14043547e-01  1.46584616e-01  4.94149182e-01
  1.14545996e-01  1.49708067e-01  4.94801273e-01
  1.15050658e-01  1.52842445e-01  4.95352638e-01
  1.15557544e-01  1.55948521e-01  4.95858602e-01
  1.16066663e-01  1.59036699e-01  4.96331798e-01
  1.16578025e-01  1.62135372e-01  4.96791049e-01
  1.17091640e-01  1.65237981e-01  4.97175572e-01
  1.17607518e-01  1.68341323e-01  4.97535762e-01
  1.18125669e-01  1.71440313e-01  4.97813869e-01
  1.18646103e-01  1.74550021e-01  4.98073266e-01
  1.19168829e-01  1.77635610e-01  4.98185693e-01
  1.19693859e-01  1.80653786e-01  4.98280862e-01
  1.20221201e-01  1.83640695e-01  4.98342323e-01
  1.20750867e-01  1.86635811e-01  4.98395125e-01
  1.21282867e-01  1.89600225e-01  4.98311759e-01
  1.21817210e-01  1.92495050e-01  4.98214927e-01
  1.22353908e-01  1.95337892e-01  4.98063220e-01
  1.22892970e-01  1.98127084e-01  4.97902092e-01
  1.23434407e-01  2.00867489e-01  4.97704780e-01
  1.23978230e-01  2.03567792e-01  4.97507847e-01
  1.24524448e-01  2.06221302e-01  4.97260513e-01
  1.25073073e-01  2.08811656e-01  4.97012134e-01
  1.25624116e-01  2.11353805e-01  4.96760674e-01
  1.26177586e-01  2.13852507e-01  4.96510101e-01
  1.26733494e-01  2.16309225e-01  4.96256419e-01
  1.27291852e-01  2.18723004e-01  4.96003672e-01
  1.27852669e-01  2.21087984e-01  4.95747711e-01
  1.28415958e-01  2.23377262e-01  4.95495611e-01
  1.28981728e-01  2.25632791e-01  4.95340709e-01
  1.29549990e-01  2.27884000e-01  4.95191594e-01
  1.30120757e-01  2.30128458e-01  4.95096080e-01
  1.30694038e-01  2.32370162e-01  4.95000985e-01
  1.31269845e-01  2.34604973e-01  4.94947987e-01
  1.31848188e-01  2.36827957e-01  4.94904051e-01
  1.32429080e-01  2.39074811e-01  4.94952649e-01
  1.33012531e-01  2.41393240e-01  4.95000000e-01
  1.33598553e-01  2.43732488e-01  4.95000000e-01
  1.34187156e-01  2.46061282e-01  4.95007323e-01
  1.34778353e-01  2.48418860e-01  4.95056748e-01
  1.35372154e-01  2.50836451e-01  4.95100000e-01
  1.35968572e-01  2.53288815e-01  4.95100000e-01
  1.36567617e-01  2.55772428e-01  4.95094319e-01
  1.37169301e-01  2.58289349e-01  4.95044009e-01
  1.37773637e-01  2.60850624e-01  4.94981440e-01
  1.38380634e-01  2.63442381e-01  4.94829203e-01
  1.38990306e-01  2.66064950e-01  4.94654486e-01
  1.39602665e-01  2.68691412e-01  4.94347416e-01
  1.40217721e-01  2.71299420e-01  4.94020914e-01
  1.40835487e-01  2.73904005e-01  4.93608058e-01
  1.41455974e-01  2.76504420e-01  4.93155968e-01
  1.42079196e-01  2.79076377e-01  4.92583622e-01
  1.42705163e-01  2.81596467e-01  4.91977360e-01
  1.43333888e-01  2.84072191e-01  4.91299047e-01
  1.43965383e-01  2.86505869e-01  4.90591786e-01
  1.44599660e-01  2.88880906e-01  4.89797658e-01
  1.45236732e-01  2.91179197e-01  4.88988161e-01
  1.45876610e-01  2.93419237e-01  4.88150337e-01
  1.46519308e-01  2.95604414e-01  4.87294103e-01
  1.47164837e-01  2.97723193e-01  4.86398993e-01
  1.47813210e-01  2.99768740e-01  4.85502615e-01
  1.48464440e-01  3.01746788e-01  4.84599572e-01
  1.49118539e-01  3.03659364e-01  4.83712146e-01
  1.49775520e-01  3.05530676e-01  4.82851845e-01
  1.50435395e-01  3.07371081e-01  4.81989997e-01
  1.51098178e-01  3.09169990e-01  4.81122337e-01
  1.51763880e-01  3.10922055e-01  4.80252570e-01
  1.52432516e-01  3.12616632e-01  4.79377617e-01
  1.53104097e-01  3.14251028e-01  4.78523292e-01
  1.53778637e-01  3.15830050e-01  4.77693006e-01
  1.54456149e-01  3.17371115e-01  4.76915833e-01
  1.55136646e-01  3.18919722e-01  4.76186706e-01
  1.55820141e-01  3.20473692e-01  4.75428283e-01
  1.56506648e-01  3.21977631e-01  4.74636306e-01
  1.57196179e-01  3.23424176e-01  4.73872812e-01
  1.57888748e-01  3.24835375e-01  4.73131185e-01
  1.58584368e-01  3.26218167e-01  4.72413170e-01
  1.59283053e-01  3.27583418e-01  4.71714792e-01
  1.59984816e-01  3.28926986e-01  4.71012742e-01
  1.60689671e-01  3.30228605e-01  4.70308224e-01
  1.61397632e-01  3.31488962e-01  4.69628477e-01
  1.62108711e-01  3.32724785e-01  4.68968633e-01
  1.62822924e-01  3.33930397e-01  4.68304929e-01
  1.63540283e-01  3.35081652e-01  4.67639485e-01
  1.64260802e-01  3.36175194e-01  4.67002768e-01
  1.64984496e-01  3.37198633e-01  4.66383391e-01
  1.65711379e-01  3.38174626e-01  4.65857047e-01
  1.66441464e-01  3.39136553e-01  4.65371072e-01
  1.67174765e-01  3.40077052e-01  4.64927204e-01
  1.67911297e-01  3.40975087e-01  4.64507052e-01
  1.68651074e-01  3.41845932e-01  4.64178330e-01
  1.69394111e-01  3.42696489e-01  4.63881727e-01
  1.70140421e-01  3.43540524e-01  4.63691306e-01
  1.70890019e-01  3.44402131e-01  4.63541679e-01
  1.71642920e-01  3.45281023e-01  4.63461026e-01
  1.72399138e-01  3.46172170e-01  4.63407150e-01
  1.73158687e-01  3.47093991e-01  4.63441392e-01
  1.73921583e-01  3.48063883e-01  4.63488940e-01
  1.74687840e-01  3.49075139e-01  4.63578788e-01
  1.75457473e-01  3.50151331e-01  4.63681143e-01
  1.76230497e-01  3.51265629e-01  4.63742241e-01
  1.77006927e-01  3.52388720e-01  4.63793844e-01
  1.77786777e-01  3.53527409e-01  4.63843144e-01
  1.78570064e-01  3.54707392e-01  4.63891946e-01
  1.79356801e-01  3.55898770e-01  4.63856007e-01
  1.80147004e-01  3.57079764e-01  4.63803505e-01
  1.80940689e-01  3.58225617e-01  4.63660461e-01
  1.81737870e-01  3.59310980e-01  4.63511551e-01
  1.82538564e-01  3.60333159e-01  4.63314488e-01
  1.83342786e-01  3.61268127e-01  4.63114183e-01
  1.84150550e-01  3.62112892e-01  4.62911497e-01
  1.84961874e-01  3.62819835e-01  4.62709451e-01
  1.85776772e-01  3.63433054e-01  4.62651237e-01
  1.86595260e-01  3.63949052e-01  4.62600294e-01
  1.87417354e-01  3.64394067e-01  4.62753894e-01
  1.88243071e-01  3.64764607e-01  4.62923003e-01
  1.89072425e-01  3.65098403e-01  4.63363894e-01
  1.89905433e-01  3.65375142e-01  4.63805479e-01
  1.90742111e-01  3.65662650e-01  4.64645457e-01
  1.91582475e-01  3.66043086e-01  4.65512526e-01
  1.92426542e-01  3.66516065e-01  4.66658596e-01
  1.93274328e-01  3.67115511e-01  4.67819043e-01
  1.94125848e-01  3.67831852e-01  4.69176329e-01
  1.94981121e-01  3.68685126e-01  4.70544343e-01
  1.95840161e-01  3.69679512e-01  4.72065545e-01
  1.96702986e-01  3.70849536e-01  4.73589323e-01
  1.97569613e-01  3.72184791e-01  4.75174654e-01
  1.98440057e-01  3.73715884e-01  4.76740800e-01
  1.99314337e-01  3.75404310e-01  4.78236292e-01
  2.00192469e-01  3.77244278e-01  4.79680242e-01
  2.01074469e-01  3.79170618e-01  4.80957611e-01
  2.01960355e-01  3.81148211e-01  4.82209100e-01
  2.02850144e-01  3.83193153e-01  4.83363364e-01
  2.03743854e-01  3.85298744e-01  4.84473018e-01
  2.04641501e-01  3.87454252e-01  4.85472415e-01
  2.05543102e-01  3.89651099e-01  4.86417728e-01
  2.06448676e-01  3.91854982e-01  4.87224267e-01
  2.07358240e-01  3.94040296e-01  4.88002347e-01
  2.08271811e-01  3.96226005e-01  4.88714158e-01
  2.09189407e-01  3.98411784e-01  4.89394331e-01
  2.10111046e-01  4.00598203e-01  4.90009627e-01
  2.11036745e-01  4.02774434e-01  4.90578547e-01
  2.11966523e-01  4.04906325e-01  4.91068583e-01
  2.12900397e-01  4.06979440e-01  4.91568063e-01
  2.13838385e-01  4.09044965e-01  4.92089799e-01
  2.14780506e-01  4.11112680e-01  4.92581515e-01
  2.15726778e-01  4.13132358e-01  4.93030144e-01
  2.16677219e-01  4.15093180e-01  4.93519925e-01
  2.17631847e-01  4.17046994e-01  4.94073082e-01
  2.18590681e-01  4.19011946e-01  4.94648450e-01
  2.19553740e-01  4.20979445e-01  4.95257121e-01
  2.20521041e-01  4.22957644e-01  4.95912322e-01
  2.21492605e-01  4.24969362e-01  4.96628480e-01
  2.22468448e-01  4.27040280e-01  4.97397021e-01
