  # Astr silicate from Weingartner & Draine (2001), extended to X-rays by V.Z.
  # lamda [mu]         n - 1              k
  1.13045252e-01  7.62050690e-01  8.51773198e-01
  1.13543303e-01  7.68868784e-01  8.48485700e-01
  1.14043547e-01  7.75734914e-01  8.45217034e-01
  1.14545996e-01  7.82676942e-01  8.41962706e-01
  1.15050658e-01  7.89694814e-01  8.38667121e-01
  1.15557544e-01  7.96743285e-01  8.35320026e-01
  1.16066663e-01  8.03819710e-01  8.31987612e-01
  1.16578025e-01  8.10950557e-01  8.28661815e-01
  1.17091640e-01  8.18136257e-01  8.25349266e-01
  1.17607518e-01  8.25384414e-01  8.22089185e-01
  1.18125669e-01  8.32802117e-01  8.18972002e-01
  1.18646103e-01  8.40504789e-01  8.15868492e-01
  1.19168829e-01  8.48455013e-01  8.12643744e-01
  1.19693859e-01  8.56604076e-01  8.09346901e-01
  1.20221201e-01  8.65116124e-01  8.06064520e-01
  1.20750867e-01  8.73884618e-01  8.02337684e-01
  1.21282867e-01  8.82892737e-01  7.98619445e-01
  1.21817210e-01  8.92326120e-01  7.94528402e-01
  1.22353908e-01  9.01832728e-01  7.89790111e-01
  1.22892970e-01  9.11515895e-01  7.85072605e-01
  1.23434407e-01  9.21389750e-01  7.79604531e-01
  1.23978230e-01  9.31219709e-01  7.73899107e-01
  1.24524448e-01  9.41445663e-01  7.68016263e-01
  1.25073073e-01  9.51629298e-01  7.60876337e-01
  1.25624116e-01  9.61604066e-01  7.53767729e-01
  1.26177586e-01  9.71654417e-01  7.45896790e-01
  1.26733494e-01  9.81278759e-01  7.37326741e-01
  1.27291852e-01  9.90668177e-01  7.28794285e-01
  1.27852669e-01  9.99885716e-01  7.19599719e-01
  1.28415958e-01  1.00885627e+00  7.10364564e-01
  1.28981728e-01  1.01793798e+00  7.00851965e-01
  1.29549990e-01  1.02687988e+00  6.90586759e-01
  1.30120757e-01  1.03606570e+00  6.80366580e-01
  1.30694038e-01  1.04521578e+00  6.68284773e-01
  1.31269845e-01  1.05318001e+00  6.55240427e-01
  1.31848188e-01  1.06034677e+00  6.42217657e-01
  1.32429080e-01  1.06658677e+00  6.28154309e-01
  1.33012531e-01  1.07139025e+00  6.14152648e-01
  1.33598553e-01  1.07517708e+00  6.00710010e-01
  1.34187156e-01  1.07858623e+00  5.88001952e-01
  1.34778353e-01  1.08184710e+00  5.75349637e-01
  1.35372154e-01  1.08480464e+00  5.62762032e-01
  1.35968572e-01  1.08748012e+00  5.50232015e-01
  1.36567617e-01  1.08992676e+00  5.37685027e-01
  1.37169301e-01  1.09196965e+00  5.24864592e-01
  1.37773637e-01  1.09351758e+00  5.12100393e-01
  1.38380634e-01  1.09462630e+00  4.99267947e-01
  1.38990306e-01  1.09520431e+00  4.86394641e-01
  1.39602665e-01  1.09524114e+00  4.73577804e-01
  1.40217721e-01  1.09469446e+00  4.60752055e-01
  1.40835487e-01  1.09339006e+00  4.47978356e-01
  1.41455974e-01  1.09127276e+00  4.35594204e-01
  1.42079196e-01  1.08871737e+00  4.23935556e-01
  1.42705163e-01  1.08564155e+00  4.12328048e-01
  1.43333888e-01  1.08206846e+00  4.01625103e-01
  1.43965383e-01  1.07834465e+00  3.91324569e-01
  1.44599660e-01  1.07402089e+00  3.81209460e-01
  1.45236732e-01  1.06952628e+00  3.72489463e-01
  1.45876610e-01  1.06509551e+00  3.63807717e-01
  1.46519308e-01  1.06038639e+00  3.55893910e-01
  1.47164837e-01  1.05593273e+00  3.48852169e-01
  1.47813210e-01  1.05160660e+00  3.41841315e-01
  1.48464440e-01  1.04739163e+00  3.35656837e-01
  1.49118539e-01  1.04351948e+00  3.29638380e-01
  1.49775520e-01  1.03969645e+00  3.23832488e-01
  1.50435395e-01  1.03614894e+00  3.18652343e-01
  1.51098178e-01  1.03301626e+00  3.13494919e-01
  1.51763880e-01  1.03010050e+00  3.08415196e-01
  1.52432516e-01  1.02737225e+00  3.03393460e-01
  1.53104097e-01  1.02476596e+00  2.98393751e-01
  1.53778637e-01  1.02230429e+00  2.93533292e-01
  1.54456149e-01  1.02005475e+00  2.88695189e-01
  1.55136646e-01  1.01796835e+00  2.83770484e-01
  1.55820141e-01  1.01589800e+00  2.78689311e-01
  1.56506648e-01  1.01379073e+00  2.73630426e-01
  1.57196179e-01  1.01167128e+00  2.68550241e-01
  1.57888748e-01  1.00951199e+00  2.63477735e-01
  1.58584368e-01  1.00730700e+00  2.58430203e-01
  1.59283053e-01  1.00505690e+00  2.53422166e-01
  1.59984816e-01  1.00272518e+00  2.48436096e-01
  1.60689671e-01  1.00032302e+00  2.43590691e-01
  1.61397632e-01  9.97937598e-01  2.38874250e-01
  1.62108711e-01  9.95545959e-01  2.34178498e-01
  1.62822924e-01  9.93145187e-01  2.29609510e-01
  1.63540283e-01  9.90753405e-01  2.25072337e-01
  1.64260802e-01  9.88322813e-01  2.20598062e-01
  1.64984496e-01  9.85897875e-01  2.16254697e-01
  1.65711379e-01  9.83472943e-01  2.11930384e-01
  1.66441464e-01  9.81037667e-01  2.07730889e-01
  1.67174765e-01  9.78642921e-01  2.03604475e-01
  1.67911297e-01  9.76251899e-01  1.99499825e-01
  1.68651074e-01  9.73870849e-01  1.95495749e-01
  1.69394111e-01  9.71506177e-01  1.91509236e-01
  1.70140421e-01  9.69129629e-01  1.87587874e-01
  1.70890019e-01  9.66776069e-01  1.83747064e-01
  1.71642920e-01  9.64438392e-01  1.79923102e-01
  1.72399138e-01  9.62106179e-01  1.76162370e-01
