#amax [cm]	kappa [g cm^-3]
0.000101930	2.58892
0.000340163	2.59063
0.000968345	2.59211
0.00253944	2.61313
0.00622998	2.75629
0.00929387	2.99561
0.0120717	3.35527
0.0135826	3.70151
0.0151266	4.20864
0.0171065	5.60740
0.0181916	6.52154
0.0216557	7.99679
0.0255168	9.30098
0.0340039	10.9832
0.0460174	12.0266
0.0542240	12.0277
0.0756766	11.5843
0.112321	10.8257
0.168430	9.66874
0.248713	8.57045
0.542330	6.24430
1.17653	4.44760
2.53932	3.14405
11.9510	1.50157
54.5416	0.717122
79.7186	0.589437
100.931	0.522437
